,Ward_id_2008_2017,Variance_2008_2017,Ward_id_2009_2017,Variance_2009_2017,Ward_id_2010_2017,Variance_2010_2017,Ward_id_2011_2017,Variance_2011_2017
91,295,0.00461182,580,0.004349614,310,0.00416881,385,0.004014151
92,277,0.004605537,10,0.004327325,189,0.004159162,118,0.003995091
93,96,0.00460119,1,0.004318649,184,0.004112148,310,0.003995062
94,113,0.004579144,277,0.004316319,329,0.004090539,7,0.003983317
95,341,0.004574187,310,0.004311398,425,0.00406937,89,0.003973535
96,184,0.00456189,341,0.004309575,88,0.004063772,605,0.003965424
97,172,0.004553372,104,0.004301289,73,0.004050347,77,0.003964307
98,10,0.004532941,184,0.004274732,7,0.004008291,258,0.003946269
99,310,0.004480314,7,0.004269724,617,0.004007371,159,0.003892395
100,7,0.00445281,15,0.004269557,117,0.004006953,168,0.003889954
101,1,0.004441842,605,0.00424338,621,0.004004833,74,0.003865076
102,160,0.004427857,90,0.004233546,159,0.003999978,176,0.0038629
103,351,0.004421991,617,0.004233015,252,0.00398063,568,0.003861611
104,617,0.004359664,328,0.004228464,10,0.003956248,440,0.003860861
105,506,0.004330423,189,0.004134228,60,0.00393985,285,0.003851027
106,15,0.004320174,159,0.004093535,376,0.003938345,280,0.003845355
107,74,0.004304451,351,0.004090149,74,0.003931868,184,0.00384309
108,428,0.004283188,88,0.004089765,118,0.00389499,264,0.0038133
109,30,0.004258124,30,0.004047779,104,0.00388033,312,0.003810783
110,90,0.004241278,74,0.00404757,341,0.003878974,10,0.003805741
111,328,0.004220555,329,0.004031402,160,0.003874046,154,0.003787264
112,189,0.004214337,295,0.004015062,280,0.003857835,570,0.003782277
113,580,0.00420141,506,0.004010033,154,0.003856816,317,0.003781934
114,384,0.004184919,154,0.004005589,605,0.003850944,335,0.003758188
115,354,0.004165156,384,0.003973753,397,0.003848539,193,0.003750631
116,159,0.004146856,86,0.003962222,30,0.003824581,113,0.003744108
117,86,0.004122145,428,0.003949772,168,0.003822022,30,0.003742076
118,154,0.004089431,117,0.003947252,312,0.003800153,85,0.003736189
119,389,0.004065015,252,0.003946231,264,0.003793335,506,0.003735193
